,caseid,tname,tid
3984,52,SNUADC/PLETH,6794d62f19568d041f7ddf4b9b0ead7edba9e891
3985,52,Solar8000/ART_DBP,b8f18ae848a2064a7e92dd8d5f467bb0bd060b17
3986,52,Solar8000/ART_MBP,8c0f112e548cc85eb2f14995abc3946fc7a8e02e
3987,52,Solar8000/ART_SBP,d1f7f887a7d3d4bc0dfe6d1112d6e1ccd620688a
4489,58,SNUADC/PLETH,802ca325b9a0d942246d6c4efee2d849f21be3f5
4490,58,Solar8000/ART_DBP,ffa1843212257085240aa41b92d4fdc49e290656
4491,58,Solar8000/ART_MBP,7ddfb5fa2e94f725e347fc4d2455901d2b2030ef
4492,58,Solar8000/ART_SBP,42e03641eb91128c7d2309761338f18b4981d5f1
4572,59,SNUADC/PLETH,d75257e92aa27b50c90bf42440e78a50e29395ce
4573,59,Solar8000/ART_DBP,6c74845bcc774feaeb3beeb27d9eeed52469ba03
4574,59,Solar8000/ART_MBP,88d30ff0cbd332160e4763e990dfb66a7c91fea8
4575,59,Solar8000/ART_SBP,372f12d2a8e336394de6eb9d68043c6a1e0a582d
4668,60,SNUADC/PLETH,001f0a96874f7226fc19115cff679b02e6817518
4669,60,Solar8000/ART_DBP,3ead35b7cf3f2f5ac861b839ca260b0fa4e7c531
4670,60,Solar8000/ART_MBP,873e93a6e9e61be2a6fc190fd052dd54cf075b4a
4671,60,Solar8000/ART_SBP,11742c9d2910dd26ab03ac46d7eb1b4348e28bd7
4751,61,SNUADC/PLETH,92015249bed15d35671779170e7b51e2ea221227
4752,61,Solar8000/ART_DBP,692e0548576c448c8ac01b85f9db3fdff2030ce5
4753,61,Solar8000/ART_MBP,7591529a4decea175bc622d72cd8a60aeba964bf
4754,61,Solar8000/ART_SBP,3266ea85b3bcc04a70ab06de9d1ad05321eed79a
4960,64,SNUADC/PLETH,a7013e1bdb5a2972a36a4357669d890849643d36
4961,64,Solar8000/ART_DBP,53db1358587b3f062a9bdf8f60b37f864039907b
4962,64,Solar8000/ART_MBP,7249a20b4066ba77a70494dd5a2dc591ab7a07d3
4963,64,Solar8000/ART_SBP,5ec2c882ff6a580df0c18e0fddbaa9d0e75002d6
5035,65,SNUADC/PLETH,f4731a18d108aae4383f5bbdf7bbdbb811da2ebd
5036,65,Solar8000/ART_DBP,3a841517720f1704b00723174b046ad01e1efdf4
5037,65,Solar8000/ART_MBP,bb1550b0015c285ec8cb37240ffa0c752964c792
5038,65,Solar8000/ART_SBP,c74b57e3ae8ad063a46f4dc208809a11cc09a6aa
5111,66,SNUADC/PLETH,08b401dc33cec255cce43fb876b462449934540c
5112,66,Solar8000/ART_DBP,d7579971316f927acbb38913fb55879c3d8f7d3f
5113,66,Solar8000/ART_MBP,cbc44190852d1452fd780a4e72877d48dd427cdc
5114,66,Solar8000/ART_SBP,bac65dfe23f545ecdcbdcd2837f0293fdd0723f2
5193,67,SNUADC/PLETH,e4ac9811763ca039f8dc5bc5fd951d37eec6e359
5194,67,Solar8000/ART_DBP,045d4d684764127aa99c00b620f8f38ff506c3fb
5195,67,Solar8000/ART_MBP,ddb50b616606ae1b03d7c0e8b85ecc66a459aa9e
5196,67,Solar8000/ART_SBP,536e215d95dd2520c1db4bb1ab93532d5353a041
5271,68,SNUADC/PLETH,c2a609e474f3bdb8cf69f0afd7d357199bd0d59c
5272,68,Solar8000/ART_DBP,96f9e63702e90cf2b5f35340c46e2fd3c7c2e528
5273,68,Solar8000/ART_MBP,2ec97e4308ffc47e33f11c555a8eb9e9c9a02cd0
5274,68,Solar8000/ART_SBP,daf5471b42ccec43b71b52cfe246e51c7a5074ba
5355,69,SNUADC/PLETH,02b29f2deab10cf515a9af5fdbb6c327d6766045
5356,69,Solar8000/ART_DBP,97eee2c9e65fbb5d88b239857ab075f333996c33
